country_code,country_name,platform_id,platform_name_ar,platform_name_en,fee_percent,service_fee_percent,payment_gateway_fee_percent,campaign_discount_percent,operating_model,free_delivery_threshold,free_delivery_restaurant_share,confidence,notes
BH,البحرين,plat_deliveroo,ديليفرو,Deliveroo,28,0,0,0,closed,6,0.9,verified,
BH,البحرين,plat_jahez,جاهز,Jahez,20,0,0,0,closed,5,0.7,estimated,نمو 50% سنوياً
BH,البحرين,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
OM,عمان,plat_talabat,طلبات,Talabat,22,0,0,0,closed,3,0.5,verified,
OM,عمان,plat_careem,كريم ناو,Careem NOW,22,0,0,0,closed,3,0.5,verified,
OM,عمان,plat_keeta,كيتا,Keeta,15,0,0,0,closed,2.5,0.4,verified,
OM,عمان,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
JO,الأردن,plat_talabat,طلبات,Talabat,22,0,0,0,closed,5,0.8,verified,
JO,الأردن,plat_toters,توترز,Toters,25,0,0,0,closed,7,1,verified,
JO,الأردن,plat_jahez,جاهز,Jahez,20,0,0,0,closed,5,0.7,estimated,
JO,الأردن,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
IQ,العراق,plat_talabati,طلباتي,Talabati,18,0,0,0,closed,0,0,estimated,
IQ,العراق,plat_mrsoul,مرسول,Mrsool,18,0,0,0,open,0,0,verified,
IQ,العراق,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
LB,لبنان,plat_toters,توترز,Toters,25,0,0,0,closed,5,0.8,verified,
LB,لبنان,plat_wakilni,وكيلني,Wakilni,5,0,0,0,closed,0,0,estimated,رسوم توصيل فقط
LB,لبنان,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
TN,تونس,plat_glovo,غلوفو,Glovo,25,0,0,0,closed,0,0,verified,
TN,تونس,plat_jumia,جوميا فود,Jumia Food,14,0,0,0,closed,0,0,verified,
TN,تونس,plat_bolt,بولت فود,Bolt Food,18,0,0,0,closed,0,0,verified,
TN,تونس,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
DZ,الجزائر,plat_yassir,ياسير,Yassir,18,0,0,0,closed,0,0,verified,8M مستخدم
DZ,الجزائر,plat_jumia,جوميا فود,Jumia Food,14,0,0,0,closed,0,0,verified,
DZ,الجزائر,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
MA,المغرب,plat_glovo,غلوفو,Glovo,25,0,0,0,closed,0,0,verified,حدّت عند 30% 2024
MA,المغرب,plat_jumia,جوميا فود,Jumia Food,14,0,0,0,closed,0,0,verified,
MA,المغرب,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
LY,ليبيا,plat_glovo,غلوفو,Glovo,25,0,0,0,closed,0,0,verified,
LY,ليبيا,plat_jumia,جوميا فود,Jumia Food,14,0,0,0,closed,0,0,verified,
LY,ليبيا,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
SD,السودان,plat_nine,ناين,Nine,15,0,0,0,closed,0,0,estimated,2500+ مطعم
SD,السودان,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
YE,اليمن,plat_wagbat,واجبات,Wagbat,18,0,0,0,closed,0,0,estimated,120 مطعم
YE,اليمن,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
DJ,جيبوتي,plat_kiki,كيكي دروب,KiKi Drop,18,0,0,0,closed,0,0,estimated,
DJ,جيبوتي,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
SO,الصومال,plat_ricaab,ريكاب,Ricaab,18,0,0,0,closed,0,0,estimated,100K+ عميل
SO,الصومال,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
MR,موريتانيا,plat_jumli,جملي,Jumli,18,0,0,0,closed,0,0,verified,2M+ مستخدم
MR,موريتانيا,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
KM,جزر القمر,plat_sahilkom,ساهيلكوم,Sahilkom,15,0,0,0,closed,0,0,estimated,
KM,جزر القمر,plat_direct,مباشر (بدون منصة),Direct,0,0,0,0,direct,0,0,verified,
